robin	box	digitized	harvard_link	title	folder
1088	Box 64	no		Peirce, Charles S. (Charles Sanders), 1839-1914.  On Gravity as an Index of the Movements of the Earth's Crust   : autograph manuscript, undated	1088_on-gravity-as-an-index-of-the-movements-of-th
1089	Box 64	no		Peirce, Charles S. (Charles Sanders), 1839-1914.  [On Metrology]   : autograph manuscript, undated	1089_on-metrology
1093	Box 64	no		Peirce, Charles S. (Charles Sanders), 1839-1914.  Note on the Theory of the Economy of Research   : autograph manuscript, before June 4, 1877	1093_note-on-the-theory-of-the-economy-of-research
460	Box 32	no		Peirce, Charles S. (Charles Sanders), 1839-1914.  [Lecture III]   : autograph manuscript notebook	460_lecture-iii
461	Box 32	no		Peirce, Charles S. (Charles Sanders), 1839-1914.  Lowell Lectures of 1903 by C. S. Peirce. Second draught of Lecture 3   : autograph manuscript notebook, September 30, 1903	461_lowell-lectures-of-1903-second-draught-of-lec
462	Box 32	yes	https://nrs.harvard.edu/URN-3:FHCL.HOUGH:105145005	Peirce, Charles S. (Charles Sanders), 1839-1914.  Charles S. Peirce's Lowell Lectures of 1903 2nd Draught of 3rd Lecture   : autograph manuscript, October 5, 1903	462_lowell-lectures-of-1903-2nd-draught-of-3rd-le
463	Box 32	no		Peirce, Charles S. (Charles Sanders), 1839-1914.  Lowell Lectures of 1903. Lecture III. 2nd Draught   : autograph manuscript notebook, 1903	463_lowell-lectures-of-1903-lecture-iii-2nd-draug
464	Box 32	yes	https://nrs.harvard.edu/URN-3:FHCL.HOUGH:105145111	Peirce, Charles S. (Charles Sanders), 1839-1914.  Charles S. Peirce's Lowell Lectures of 1903. Part 1 of 3rd draught of 3rd Lecture   : autograph manuscript notebook, begun October 8, 1903	464_lowell-lectures-of-1903-part-1-of-3rd-draught
465	Box 32	no		Peirce, Charles S. (Charles Sanders), 1839-1914.  Charles S. Peirce's Lowell Lectures of 1903. 2nd Part of 3rd Draught of Lecture III   : autograph manuscript notebook, October 12, 1903	465_lowell-lectures-of-1903-2nd-part-of-3rd-draug
466	Box 32	no		Peirce, Charles S. (Charles Sanders), 1839-1914.  Useful for 3rd or 4th?   : autograph manuscript notebook, 1903	466_lowell-lectures-of-1903-useful-for-3rd-or-4th
467	Box 32	no		Peirce, Charles S. (Charles Sanders), 1839-1914.  C. S. Peirce's Lowell Lectures for 1903. Lecture 4   : autograph manuscript	467_lowell-lectures-of-1903-lecture-4
469	Box 32	no		Peirce, Charles S. (Charles Sanders), 1839-1914.  Lowell Lectures. 1903. Lecture 5. Vol. 1   : autograph manuscript notebook, 1903	469_lowell-lectures-of-1903-lecture-5-vol-1
470	Box 32	no		Peirce, Charles S. (Charles Sanders), 1839-1914.  Lecture 5,. Vol. 2   : autograph manuscript notebook, 1903	470_lowell-lectures-of-1903-lecture-5-vol-2
471	Box 32	no		Peirce, Charles S. (Charles Sanders), 1839-1914.  [Lecture V]   : autograph manuscript notebook, 1903	471_lecture-v-autograph-manuscript-notebook-1903
472	Box 32	no		Peirce, Charles S. (Charles Sanders), 1839-1914.  Lowell Lectures. 1903. Sixth Lecture. Probability   : autograph manuscript	472_lowell-lectures-1903-sixth-lecture-probabilit
473	Box 32	no		Peirce, Charles S. (Charles Sanders), 1839-1914.  C. S. Peirce's Lowell lnstitute Lectures. 1903, Seventh Lecture. Introduction Vol. I   : MS Lectures.	473_c-s-peirce-s-lowell-institute-lectures
