Collection Title,"Charles S. Peirce papers, 1787-1951"
Collection Dates,1787-1951 (inclusive)
Collection Creator,"Peirce, Charles S. (Charles Sanders), 1839-1914"
Call Number,MS Am 1632
EAD ID,hou02614
Database Number,Component Title,Component Date,Start Year,End Year,Component Identifier,Container Info,Component Type,Component Creator,Digital Content Link,Access Note,Physical Description,Level 1,Level 2,Level 3,Level 4,Level 5
hou02614c00001,I. Manuscripts,1787-1951,1787,1951,MS Am 1632,"",Series,"","","","","","","","",""
hou02614c00002,A. Mathematics,1787-1951,1787,1951,MS Am 1632,"",Subseries,"","","","",I. Manuscripts,"","","",""
hou02614c00003,"Peirce, Charles S. (Charles Sanders), 1839-1914.  On the Simplest Possible Branch of Mathematics   : autograph manuscript, circa 1903",1787-1951,1787,1951,"MS Am 1632, (1)",Box 1,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00004,"Peirce, Charles S. (Charles Sanders), 1839-1914.  On the Simplest Branch of Mathematics (SM)   : autograph manuscript, circa 1903",1787-1951,1787,1951,"MS Am 1632, (2)",Box 1,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00013,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Foundations of Mathematics]   : autograph manuscript, circa 1903",1787-1951,1787,1951,"MS Am 1632, (11)",Box 1,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00101,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [The Branches of Geometry]   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (97)",Box 5,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00102,"Peirce, Charles S. (Charles Sanders), 1839-1914.  The Axioms of Geometry   : autograph manuscript, circa 1870-1871",1787-1951,1787,1951,"MS Am 1632, (98)",Box 5,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00103,"Peirce, Charles S. (Charles Sanders), 1839-1914.  The Axioms of Geometry. Attempt at enumerating them   : autograph manuscript, circa 1875-1876",1787-1951,1787,1951,"MS Am 1632, (99)",Box 5,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00104,"Peirce, Charles S. (Charles Sanders), 1839-1914.  First Attempt at a Geometry Logically Correct   : autograph manuscript  notebook., September 21, 1874",1787-1951,1787,1951,"MS Am 1632, (100)",Box 5,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00105,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Six Fundamental Properties of Space]   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (101)",Box 5,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00106,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Promptuarium of Analytical Geometry   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (102)",Box 5,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
