robin	ia_identifier	details_url	iiif_manifest	download_base	folder
460	peirce-msam1632-0460	https://archive.org/details/peirce-msam1632-0460	https://iiif.archive.org/iiif/peirce-msam1632-0460/manifest.json	https://archive.org/download/peirce-msam1632-0460	460_lecture-iii
461	peirce-msam1632-0461	https://archive.org/details/peirce-msam1632-0461	https://iiif.archive.org/iiif/peirce-msam1632-0461/manifest.json	https://archive.org/download/peirce-msam1632-0461	461_lowell-lectures-of-1903-second-draught-of-lec
462	peirce-msam1632-0462	https://archive.org/details/peirce-msam1632-0462	https://iiif.archive.org/iiif/peirce-msam1632-0462/manifest.json	https://archive.org/download/peirce-msam1632-0462	462_lowell-lectures-of-1903-2nd-draught-of-3rd-le
463	peirce-msam1632-0463	https://archive.org/details/peirce-msam1632-0463	https://iiif.archive.org/iiif/peirce-msam1632-0463/manifest.json	https://archive.org/download/peirce-msam1632-0463	463_lowell-lectures-of-1903-lecture-iii-2nd-draug
464	peirce-msam1632-0464	https://archive.org/details/peirce-msam1632-0464	https://iiif.archive.org/iiif/peirce-msam1632-0464/manifest.json	https://archive.org/download/peirce-msam1632-0464	464_lowell-lectures-of-1903-part-1-of-3rd-draught
465	peirce-msam1632-0465	https://archive.org/details/peirce-msam1632-0465	https://iiif.archive.org/iiif/peirce-msam1632-0465/manifest.json	https://archive.org/download/peirce-msam1632-0465	465_lowell-lectures-of-1903-2nd-part-of-3rd-draug
466	peirce-msam1632-0466	https://archive.org/details/peirce-msam1632-0466	https://iiif.archive.org/iiif/peirce-msam1632-0466/manifest.json	https://archive.org/download/peirce-msam1632-0466	466_lowell-lectures-of-1903-useful-for-3rd-or-4th
467	peirce-msam1632-0467	https://archive.org/details/peirce-msam1632-0467	https://iiif.archive.org/iiif/peirce-msam1632-0467/manifest.json	https://archive.org/download/peirce-msam1632-0467	467_lowell-lectures-of-1903-lecture-4
469	peirce-msam1632-0469	https://archive.org/details/peirce-msam1632-0469	https://iiif.archive.org/iiif/peirce-msam1632-0469/manifest.json	https://archive.org/download/peirce-msam1632-0469	469_lowell-lectures-of-1903-lecture-5-vol-1
470	peirce-msam1632-0470	https://archive.org/details/peirce-msam1632-0470	https://iiif.archive.org/iiif/peirce-msam1632-0470/manifest.json	https://archive.org/download/peirce-msam1632-0470	470_lowell-lectures-of-1903-lecture-5-vol-2
471	peirce-msam1632-0471	https://archive.org/details/peirce-msam1632-0471	https://iiif.archive.org/iiif/peirce-msam1632-0471/manifest.json	https://archive.org/download/peirce-msam1632-0471	471_lecture-v-autograph-manuscript-notebook-1903
472	peirce-msam1632-0472	https://archive.org/details/peirce-msam1632-0472	https://iiif.archive.org/iiif/peirce-msam1632-0472/manifest.json	https://archive.org/download/peirce-msam1632-0472	472_lowell-lectures-1903-sixth-lecture-probabilit
473	peirce-msam1632-0473	https://archive.org/details/peirce-msam1632-0473	https://iiif.archive.org/iiif/peirce-msam1632-0473/manifest.json	https://archive.org/download/peirce-msam1632-0473	473_c-s-peirce-s-lowell-institute-lectures
474	peirce-msam1632-0474	https://archive.org/details/peirce-msam1632-0474	https://iiif.archive.org/iiif/peirce-msam1632-0474/manifest.json	https://archive.org/download/peirce-msam1632-0474	474_lecture-vii-autograph-manuscript-notebook-190
475	peirce-msam1632-0475	https://archive.org/details/peirce-msam1632-0475	https://iiif.archive.org/iiif/peirce-msam1632-0475/manifest.json	https://archive.org/download/peirce-msam1632-0475	475_c-s-peirce-s-lowell-lectures-of-1903-eighth-l
736	peirce-msam1632-0736	https://archive.org/details/peirce-msam1632-0736	https://iiif.archive.org/iiif/peirce-msam1632-0736/manifest.json	https://archive.org/download/peirce-msam1632-0736	736_qualitative-logic
737	peirce-msam1632-0737	https://archive.org/details/peirce-msam1632-0737	https://iiif.archive.org/iiif/peirce-msam1632-0737/manifest.json	https://archive.org/download/peirce-msam1632-0737	737_memoir-4-algebra-of-copula
738	peirce-msam1632-0738	https://archive.org/details/peirce-msam1632-0738	https://iiif.archive.org/iiif/peirce-msam1632-0738/manifest.json	https://archive.org/download/peirce-msam1632-0738	738_on-the-quantified-predicate
739	peirce-msam1632-0739	https://archive.org/details/peirce-msam1632-0739	https://iiif.archive.org/iiif/peirce-msam1632-0739/manifest.json	https://archive.org/download/peirce-msam1632-0739	739_thought-and-feeling
741	peirce-msam1632-0741	https://archive.org/details/peirce-msam1632-0741	https://iiif.archive.org/iiif/peirce-msam1632-0741/manifest.json	https://archive.org/download/peirce-msam1632-0741	741_on-the-figures-and-methods-of-logic
758	peirce-msam1632-0758	https://archive.org/details/peirce-msam1632-0758	https://iiif.archive.org/iiif/peirce-msam1632-0758/manifest.json	https://archive.org/download/peirce-msam1632-0758	758_aristotle-9-aristotle-10
760	peirce-msam1632-0760	https://archive.org/details/peirce-msam1632-0760	https://iiif.archive.org/iiif/peirce-msam1632-0760/manifest.json	https://archive.org/download/peirce-msam1632-0760	760_necessary-reasoning
761	peirce-msam1632-0761	https://archive.org/details/peirce-msam1632-0761	https://iiif.archive.org/iiif/peirce-msam1632-0761/manifest.json	https://archive.org/download/peirce-msam1632-0761	761_examples-of-probable-reasoning
762	peirce-msam1632-0762	https://archive.org/details/peirce-msam1632-0762	https://iiif.archive.org/iiif/peirce-msam1632-0762/manifest.json	https://archive.org/download/peirce-msam1632-0762	762_plan-for-a-work-on-probability
763	peirce-msam1632-0763	https://archive.org/details/peirce-msam1632-0763	https://iiif.archive.org/iiif/peirce-msam1632-0763/manifest.json	https://archive.org/download/peirce-msam1632-0763	763_the-doctrine-of-chances
764	peirce-msam1632-0764	https://archive.org/details/peirce-msam1632-0764	https://iiif.archive.org/iiif/peirce-msam1632-0764/manifest.json	https://archive.org/download/peirce-msam1632-0764	764
765	peirce-msam1632-0765	https://archive.org/details/peirce-msam1632-0765	https://iiif.archive.org/iiif/peirce-msam1632-0765/manifest.json	https://archive.org/download/peirce-msam1632-0765	765_lecture-ii
766	peirce-msam1632-0766	https://archive.org/details/peirce-msam1632-0766	https://iiif.archive.org/iiif/peirce-msam1632-0766/manifest.json	https://archive.org/download/peirce-msam1632-0766	766_synopsis-of-the-discussion-of-the-ground-of-i
767	peirce-msam1632-0767	https://archive.org/details/peirce-msam1632-0767	https://iiif.archive.org/iiif/peirce-msam1632-0767/manifest.json	https://archive.org/download/peirce-msam1632-0767	767_fragments-on-induction-and-abduction
768	peirce-msam1632-0768	https://archive.org/details/peirce-msam1632-0768	https://iiif.archive.org/iiif/peirce-msam1632-0768/manifest.json	https://archive.org/download/peirce-msam1632-0768	768_statistical-deduction
769	peirce-msam1632-0769	https://archive.org/details/peirce-msam1632-0769	https://iiif.archive.org/iiif/peirce-msam1632-0769/manifest.json	https://archive.org/download/peirce-msam1632-0769	769_logic-of-science
770	peirce-msam1632-0770	https://archive.org/details/peirce-msam1632-0770	https://iiif.archive.org/iiif/peirce-msam1632-0770/manifest.json	https://archive.org/download/peirce-msam1632-0770	770_the-logic-of-science
771	peirce-msam1632-0771	https://archive.org/details/peirce-msam1632-0771	https://iiif.archive.org/iiif/peirce-msam1632-0771/manifest.json	https://archive.org/download/peirce-msam1632-0771	771_essays-on-the-rationale-of-science
772	peirce-msam1632-0772	https://archive.org/details/peirce-msam1632-0772	https://iiif.archive.org/iiif/peirce-msam1632-0772/manifest.json	https://archive.org/download/peirce-msam1632-0772	772_physical-laws
780	peirce-msam1632-0780	https://archive.org/details/peirce-msam1632-0780	https://iiif.archive.org/iiif/peirce-msam1632-0780/manifest.json	https://archive.org/download/peirce-msam1632-0780	780_table-of-syllogisms
781	peirce-msam1632-0781	https://archive.org/details/peirce-msam1632-0781	https://iiif.archive.org/iiif/peirce-msam1632-0781/manifest.json	https://archive.org/download/peirce-msam1632-0781	781_classification-of-universals
782	peirce-msam1632-0782	https://archive.org/details/peirce-msam1632-0782	https://iiif.archive.org/iiif/peirce-msam1632-0782/manifest.json	https://archive.org/download/peirce-msam1632-0782	782_table-of-contraposition
783	peirce-msam1632-0783	https://archive.org/details/peirce-msam1632-0783	https://iiif.archive.org/iiif/peirce-msam1632-0783/manifest.json	https://archive.org/download/peirce-msam1632-0783	783_on-the-syllogism
787	peirce-msam1632-0787	https://archive.org/details/peirce-msam1632-0787	https://iiif.archive.org/iiif/peirce-msam1632-0787/manifest.json	https://archive.org/download/peirce-msam1632-0787	787_that-categorical-and-hypothetical-proposition
788	peirce-msam1632-0788	https://archive.org/details/peirce-msam1632-0788	https://iiif.archive.org/iiif/peirce-msam1632-0788/manifest.json	https://archive.org/download/peirce-msam1632-0788	788_elements-of-a-proposition
789	peirce-msam1632-0789	https://archive.org/details/peirce-msam1632-0789	https://iiif.archive.org/iiif/peirce-msam1632-0789/manifest.json	https://archive.org/download/peirce-msam1632-0789	789_propositions-of-the-0-order
790	peirce-msam1632-0790	https://archive.org/details/peirce-msam1632-0790	https://iiif.archive.org/iiif/peirce-msam1632-0790/manifest.json	https://archive.org/download/peirce-msam1632-0790	790_fragment-on-hypothetical-propositions
791	peirce-msam1632-0791	https://archive.org/details/peirce-msam1632-0791	https://iiif.archive.org/iiif/peirce-msam1632-0791/manifest.json	https://archive.org/download/peirce-msam1632-0791	791_5-analysis-of-the-proposition
792	peirce-msam1632-0792	https://archive.org/details/peirce-msam1632-0792	https://iiif.archive.org/iiif/peirce-msam1632-0792/manifest.json	https://archive.org/download/peirce-msam1632-0792	792_on-the-logical-nature-of-the-proposition-dici
793	peirce-msam1632-0793	https://archive.org/details/peirce-msam1632-0793	https://iiif.archive.org/iiif/peirce-msam1632-0793/manifest.json	https://archive.org/download/peirce-msam1632-0793	793_on-signs
794	peirce-msam1632-0794	https://archive.org/details/peirce-msam1632-0794	https://iiif.archive.org/iiif/peirce-msam1632-0794/manifest.json	https://archive.org/download/peirce-msam1632-0794	794_sections-of-roget-s-thesaurus-containing-word
795	peirce-msam1632-0795	https://archive.org/details/peirce-msam1632-0795	https://iiif.archive.org/iiif/peirce-msam1632-0795/manifest.json	https://archive.org/download/peirce-msam1632-0795	795_classification-of-signs-on-the-basis-of-idea-
796	peirce-msam1632-0796	https://archive.org/details/peirce-msam1632-0796	https://iiif.archive.org/iiif/peirce-msam1632-0796/manifest.json	https://archive.org/download/peirce-msam1632-0796	796_the-art-of-reasoning-chapter-i-what-is-a-sign
797	peirce-msam1632-0797	https://archive.org/details/peirce-msam1632-0797	https://iiif.archive.org/iiif/peirce-msam1632-0797/manifest.json	https://archive.org/download/peirce-msam1632-0797	797_fragments-on-signs
798	peirce-msam1632-0798	https://archive.org/details/peirce-msam1632-0798	https://iiif.archive.org/iiif/peirce-msam1632-0798/manifest.json	https://archive.org/download/peirce-msam1632-0798	798_on-signs
799	peirce-msam1632-0799	https://archive.org/details/peirce-msam1632-0799	https://iiif.archive.org/iiif/peirce-msam1632-0799/manifest.json	https://archive.org/download/peirce-msam1632-0799	799_ten-classes-of-signs
800	peirce-msam1632-0800	https://archive.org/details/peirce-msam1632-0800	https://iiif.archive.org/iiif/peirce-msam1632-0800/manifest.json	https://archive.org/download/peirce-msam1632-0800	800_p-of-l
801	peirce-msam1632-0801	https://archive.org/details/peirce-msam1632-0801	https://iiif.archive.org/iiif/peirce-msam1632-0801/manifest.json	https://archive.org/download/peirce-msam1632-0801	801_logic-regarded-as-a-study-of-the-general-natu
802	peirce-msam1632-0802	https://archive.org/details/peirce-msam1632-0802	https://iiif.archive.org/iiif/peirce-msam1632-0802/manifest.json	https://archive.org/download/peirce-msam1632-0802	802_teleological-logic
804	peirce-msam1632-0804	https://archive.org/details/peirce-msam1632-0804	https://iiif.archive.org/iiif/peirce-msam1632-0804/manifest.json	https://archive.org/download/peirce-msam1632-0804	804_assertion-and-signs
805	peirce-msam1632-0805	https://archive.org/details/peirce-msam1632-0805	https://iiif.archive.org/iiif/peirce-msam1632-0805/manifest.json	https://archive.org/download/peirce-msam1632-0805	805_the-essential-nature-of-assertions
806	peirce-msam1632-0806	https://archive.org/details/peirce-msam1632-0806	https://iiif.archive.org/iiif/peirce-msam1632-0806/manifest.json	https://archive.org/download/peirce-msam1632-0806	806_of-modality
807	peirce-msam1632-0807	https://archive.org/details/peirce-msam1632-0807	https://iiif.archive.org/iiif/peirce-msam1632-0807/manifest.json	https://archive.org/download/peirce-msam1632-0807	807_necessary-modality
808	peirce-msam1632-0808	https://archive.org/details/peirce-msam1632-0808	https://iiif.archive.org/iiif/peirce-msam1632-0808/manifest.json	https://archive.org/download/peirce-msam1632-0808	808_formal-division-s-of-dyadic-relations
809	peirce-msam1632-0809	https://archive.org/details/peirce-msam1632-0809	https://iiif.archive.org/iiif/peirce-msam1632-0809/manifest.json	https://archive.org/download/peirce-msam1632-0809	809_12-division-of-formal-science
810	peirce-msam1632-0810	https://archive.org/details/peirce-msam1632-0810	https://iiif.archive.org/iiif/peirce-msam1632-0810/manifest.json	https://archive.org/download/peirce-msam1632-0810	810_on-the-formal-principles-of-deductive-logic
811	peirce-msam1632-0811	https://archive.org/details/peirce-msam1632-0811	https://iiif.archive.org/iiif/peirce-msam1632-0811/manifest.json	https://archive.org/download/peirce-msam1632-0811	811_on-the-natural-classification-of-arguments-pr
812	peirce-msam1632-0812	https://archive.org/details/peirce-msam1632-0812	https://iiif.archive.org/iiif/peirce-msam1632-0812/manifest.json	https://archive.org/download/peirce-msam1632-0812	812_logico-mathematical-glosses
813	peirce-msam1632-0813	https://archive.org/details/peirce-msam1632-0813	https://iiif.archive.org/iiif/peirce-msam1632-0813/manifest.json	https://archive.org/download/peirce-msam1632-0813	813_logic-and-mathematics
814	peirce-msam1632-0814	https://archive.org/details/peirce-msam1632-0814	https://iiif.archive.org/iiif/peirce-msam1632-0814/manifest.json	https://archive.org/download/peirce-msam1632-0814	814_achilles-and-the-tortoise
815	peirce-msam1632-0815	https://archive.org/details/peirce-msam1632-0815	https://iiif.archive.org/iiif/peirce-msam1632-0815/manifest.json	https://archive.org/download/peirce-msam1632-0815	815_achilles-and-the-tortoise
817	peirce-msam1632-0817	https://archive.org/details/peirce-msam1632-0817	https://iiif.archive.org/iiif/peirce-msam1632-0817/manifest.json	https://archive.org/download/peirce-msam1632-0817	817_various-fragments-on-indicative-words-hypothe
818	peirce-msam1632-0818	https://archive.org/details/peirce-msam1632-0818	https://iiif.archive.org/iiif/peirce-msam1632-0818/manifest.json	https://archive.org/download/peirce-msam1632-0818	818_mr-bertrand-russell-s-paradox
